CUSTNAME,GenderCode,ADDRESS1,CITY,STATE,COUNTRY_CODE,POSTAL_CODE,POSTAL_CODE_PLUS4,ADDRESS2,EMAIL_ADDRESS,PHONE_NUMBER,CREDITCARD_TYPE,NATIONALITY,NATIONAL_ID,CREDITCARD_NUMBER,DRIVER_LICENSE,CUST_ID,AGE,GENERATION
Thomas Owens        ,Mr.,4030 Jessie Street,Adami,CZ,IT,88041,0,,Thomas.N.Owens@mailinator.com,0341 5536286,VISA,FR,1.48E+14,4621021037561760,,10015,60,Baby_Boomers
Anthony Carr        ,Mr.,2866 Quilly Lane,Agallas,,ES,37511,0,,Anthony.T.Carr@trashymail.com,91-635-1987,Discover,IT,EOOIAI58A45B091X,6011480880015110,,10019,53,Baby_Boomers
Anthony Carr        ,Mr.,2866 Quilly Lane,Agallas,,ES,37511,0,,Anthony.T.Carr@trashymail.com,91-635-1987,Discover,IT,EOOIAI58A45B091X,6011534371872740,,10019,53,Baby_Boomers
Anthony Carr        ,Mr.,2866 Quilly Lane,Agallas,,ES,37511,0,,Anthony.T.Carr@trashymail.com,91-635-1987,Discover,IT,EOOIAI58A45B091X,6011082045246460,,10019,53,Baby_Boomers
Anthony Carr        ,Mr.,2866 Quilly Lane,Agallas,,ES,37511,0,,Anthony.T.Carr@trashymail.com,91-635-1987,Discover,IT,EOOIAI58A45B091X,6011111315109630,,10019,53,Baby_Boomers
Anthony Carr        ,Mr.,2866 Quilly Lane,Agallas,,ES,37511,0,,Anthony.T.Carr@trashymail.com,91-635-1987,Discover,IT,EOOIAI58A45B091X,6011941089239890,,10019,53,Baby_Boomers
Melvin Schmitz      ,Mr.,20 Rocky Road,Aigues,,ES,3569,0,,Melvin.B.Schmitz@dodgeit.com,91-102-2813,VISA,IT,UAENZJ93C71L915W,4172783088440530,,10027,32,Gen_Y
Melvin Schmitz      ,Mr.,20 Rocky Road,Aigues,,ES,3569,0,,Melvin.B.Schmitz@dodgeit.com,91-102-2813,VISA,IT,UAENZJ93C71L915W,4235920143425530,,10027,32,Gen_Y
Melvin Schmitz      ,Mr.,20 Rocky Road,Aigues,,ES,3569,0,,Melvin.B.Schmitz@dodgeit.com,91-102-2813,VISA,IT,UAENZJ93C71L915W,4988188313693910,,10027,32,Gen_Y
Melvin Schmitz      ,Mr.,20 Rocky Road,Aigues,,ES,3569,0,,Melvin.B.Schmitz@dodgeit.com,91-102-2813,VISA,IT,UAENZJ93C71L915W,4644860390568960,,10027,32,Gen_Y
John Hoffman        ,Mr.,1660 Lighthouse Drive,Akron,OH,US,44311,0,,John.D.Hoffman@trashymail.com,608-822-4333,American Express,IT,RGQKFP86T41C178Z,377308122829636,,10031,46,Gen_X
Muriel Exley        ,Mrs.,2645 Kooter Lane,Alba Di Canazei,TN,IT,38030,0,,Muriel.J.Exley@trashymail.com,0326 8920950,Discover,FR,2.67E+14,6011995595352920,,10035,46,Gen_X
James Moyle         ,Mr.,288 Vineyard Drive,Albany,NY,US,12204,0,,James.O.Moyle@pookmail.com,614-241-8539,Master Card,IT,MQRAXX73T01A895J,5155198467940800,,10039,72,Baby_Boomers
James Moyle         ,Mr.,288 Vineyard Drive,Albany,NY,US,12204,0,,James.O.Moyle@pookmail.com,614-241-8539,Master Card,IT,MQRAXX73T01A895J,5179764101395650,,10039,72,Baby_Boomers
James Moyle         ,Mr.,288 Vineyard Drive,Albany,NY,US,12204,0,,James.O.Moyle@pookmail.com,614-241-8539,Master Card,IT,MQRAXX73T01A895J,5128946019900440,,10039,72,Baby_Boomers
Calvin Shupe        ,Mr.,3335 Willow Oaks Lane,Albosaggia,SO,IT,23100,0,,Calvin.M.Shupe@spambob.com,0331 4473271,VISA,IT,RHFGBS20R46E848A,4308565230784720,,10047,49,Gen_X
Alfonso Frazier     ,Mr.,3783 Freed Drive,Albuquerque,NM,US,87109,0,,Alfonso.K.Frazier@pookmail.com,973-546-4321,American Express,FR,1.76E+14,340583398243144,,10051,47,Gen_X
Alfonso Frazier     ,Mr.,3783 Freed Drive,Albuquerque,NM,US,87109,0,,Alfonso.K.Frazier@pookmail.com,973-546-4321,American Express,FR,1.76E+14,378253687797158,,10051,47,Gen_X
Alfonso Frazier     ,Mr.,3783 Freed Drive,Albuquerque,NM,US,87109,0,,Alfonso.K.Frazier@pookmail.com,973-546-4321,American Express,FR,1.76E+14,340232228300406,,10051,47,Gen_X
Alfonso Frazier     ,Mr.,3783 Freed Drive,Albuquerque,NM,US,87109,0,,Alfonso.K.Frazier@pookmail.com,973-546-4321,American Express,FR,1.76E+14,345077092890169,,10051,47,Gen_X
Alfonso Frazier     ,Mr.,3783 Freed Drive,Albuquerque,NM,US,87109,0,,Alfonso.K.Frazier@pookmail.com,973-546-4321,American Express,FR,1.76E+14,377264073849210,,10051,47,Gen_X
Alfonso Frazier     ,Mr.,3783 Freed Drive,Albuquerque,NM,US,87109,0,,Alfonso.K.Frazier@pookmail.com,973-546-4321,American Express,FR,1.76E+14,374979775116914,,10051,47,Gen_X
Alfonso Frazier     ,Mr.,3783 Freed Drive,Albuquerque,NM,US,87109,0,,Alfonso.K.Frazier@pookmail.com,973-546-4321,American Express,FR,1.76E+14,343229723648727,,10051,47,Gen_X
Reda Fullilove      ,Mrs.,518 Crestview Terrace,Alcalali,,ES,3728,0,,Reda.J.Fullilove@dodgeit.com,91-102-2037,Diners Club,IT,WHQPWH25A09H876D,36049994698780,,10055,24,Gen_Y
Reda Fullilove      ,Mrs.,518 Crestview Terrace,Alcalali,,ES,3728,0,,Reda.J.Fullilove@dodgeit.com,91-102-2037,Diners Club,IT,WHQPWH25A09H876D,36424931997043,,10055,24,Gen_Y
Reda Fullilove      ,Mrs.,518 Crestview Terrace,Alcalali,,ES,3728,0,,Reda.J.Fullilove@dodgeit.com,91-102-2037,Diners Club,IT,WHQPWH25A09H876D,36295252230358,,10055,24,Gen_Y
Cecil Games         ,Mr.,3747 Abner Road,Aldearrubia,,ES,37340,0,,Cecil.A.Games@trashymail.com,91-103-1865,VISA,FR,2.10E+14,4621255215693870,,10059,age-32,Gen_Z
Cecil Games         ,Mr.,3747 Abner Road,Aldearrubia,,ES,37340,0,,Cecil.A.Games@trashymail.com,91-103-1865,VISA,FR,2.10E+14,4699076177187840,,10059,age-32,Gen_Z
Edward Turner       ,Mr.,3179 Stratford Drive,Alexandria,LA,US,71301,0,,Edward.C.Turner@mailinator.com,313-244-7595,Diners Club,FR,7.54E+14,36139382128902,,10063,65,Baby_Boomers
Edward Turner       ,Mr.,3179 Stratford Drive,Alexandria,LA,US,71301,0,,Edward.C.Turner@mailinator.com,313-244-7595,Diners Club,FR,7.54E+14,36254099813181,,10063,65,Baby_Boomers
Edward Turner       ,Mr.,3179 Stratford Drive,Alexandria,LA,US,71301,0,,Edward.C.Turner@mailinator.com,313-244-7595,Diners Club,FR,7.54E+14,36237405388980,,10063,65,Baby_Boomers
Amy Randle          ,Mrs.,4316 Nickel Road,Algaida,,ES,7210,0,,Amy.M.Randle@mailinator.com,91-271-2733,VISA,U.S.,515250001,4594159694896320,,10067,28,Gen_Y
Amy Randle          ,Mrs.,4316 Nickel Road,Algaida,,ES,7210,0,,Amy.M.Randle@mailinator.com,91-271-2733,VISA,U.S.,515250001,4630677078280750,,10067,28,Gen_Y
Rafael Middleton    ,Mr.,3020 Callison Lane,Allentown,MD,US,20222,0,,Rafael.G.Middleton@spambob.com,781-315-9600,JCB,U.S.,530990002,3528924283468610,,10075,73,Baby_Boomers
Rafael Middleton    ,Mr.,3020 Callison Lane,Allentown,MD,US,20222,0,,Rafael.G.Middleton@spambob.com,781-315-9600,JCB,U.S.,530990002,3528684753010750,,10075,73,Baby_Boomers
Rafael Middleton    ,Mr.,3020 Callison Lane,Allentown,MD,US,20222,0,,Rafael.G.Middleton@spambob.com,781-315-9600,JCB,U.S.,530990002,3528160828090340,,10075,73,Baby_Boomers
Earl Bruner         ,Mr.,3155 Single Street,Alma,QC,CA,G8B 2W5,0,,Earl.M.Bruner@pookmail.com,613-353-4540,American Express,ES,5873675G,377232558412092,,10079,19,Gen_Z
Linda Garcia        ,Mrs.,2306 Thrash Trail,Alpo,VR,IT,37060,0,,Linda.J.Garcia@mailinator.com,0317 2702530,JCB,U.S.,22868164,3528897866448180,,10083,40,Gen_Y
Quinn Perry         ,Master.,749 C Street,Amarillo,TX,US,79109,0,,Quinn.S.Perry@spambob.com,603-366-3347,American Express,IT,FHGPMO74D11L254L,343640251981299,,10091,40,Gen_Y
Quinn Perry         ,Master.,749 C Street,Amarillo,TX,US,79109,0,,Quinn.S.Perry@spambob.com,603-366-3347,American Express,IT,FHGPMO74D11L254L,374896502714142,,10091,40,Gen_Y
Quinn Perry         ,Master.,749 C Street,Amarillo,TX,US,79109,0,,Quinn.S.Perry@spambob.com,603-366-3347,American Express,IT,FHGPMO74D11L254L,341828779666002,,10091,40,Gen_Y
Kristin Mendoza     ,Mrs.,2909 Frank Avenue,Anaheim,CA,US,92805,0,,Kristin.T.Mendoza@spambob.com,865-685-8215,Diners Club,FR,7.00E+14,36980252499638,,10095,age-55,Gen_Z
Kristin Mendoza     ,Mrs.,2909 Frank Avenue,Anaheim,CA,US,92805,0,,Kristin.T.Mendoza@spambob.com,865-685-8215,Diners Club,FR,7.00E+14,36944316245528,,10095,age-55,Gen_Z
Kristin Mendoza     ,Mrs.,2909 Frank Avenue,Anaheim,CA,US,92805,0,,Kristin.T.Mendoza@spambob.com,865-685-8215,Diners Club,FR,7.00E+14,36624151928079,,10095,age-55,Gen_Z
Kristin Mendoza     ,Mrs.,2909 Frank Avenue,Anaheim,CA,US,92805,0,,Kristin.T.Mendoza@spambob.com,865-685-8215,Diners Club,FR,7.00E+14,36309237393452,,10095,age-55,Gen_Z
Kristin Mendoza     ,Mrs.,2909 Frank Avenue,Anaheim,CA,US,92805,0,,Kristin.T.Mendoza@spambob.com,865-685-8215,Diners Club,FR,7.00E+14,36522461444250,,10095,age-55,Gen_Z
Michael Gordon      ,Mr.,388 Kelly Drive,Ancona,AN,IT,60123,0,,Michael.S.Gordon@dodgeit.com,0373 6095994,Diners Club,U.S.,316290001,36205115370861,,10099,63,Baby_Boomers
Phyllis White       ,Mrs.,4738 Jerry Dove Drive,Angas Plains,SA,AU,5255,0,,Phyllis.J.White@pookmail.com,(02) 4024 5353,American Express,IT,HCNFEA86A41E274E,377663338966364,,10103,51,Gen_X
Phyllis White       ,Mrs.,4738 Jerry Dove Drive,Angas Plains,SA,AU,5255,0,,Phyllis.J.White@pookmail.com,(02) 4024 5353,American Express,IT,HCNFEA86A41E274E,371632433408075,,10103,51,Gen_X
Phyllis White       ,Mrs.,4738 Jerry Dove Drive,Angas Plains,SA,AU,5255,0,,Phyllis.J.White@pookmail.com,(02) 4024 5353,American Express,IT,HCNFEA86A41E274E,347760415672155,,10103,51,Gen_X
Phyllis White       ,Mrs.,4738 Jerry Dove Drive,Angas Plains,SA,AU,5255,0,,Phyllis.J.White@pookmail.com,(02) 4024 5353,American Express,IT,HCNFEA86A41E274E,345633445732550,,10103,51,Gen_X
Katherine Mullins   ,Mrs.,4245 Adamsville Road,Angwin,CA,US,94508,0,,Katherine.W.Mullins@spambob.com,503-688-0336,Diners Club,ES,X6490143A,36025400832486,,10107,64,Baby_Boomers
Katherine Mullins   ,Mrs.,4245 Adamsville Road,Angwin,CA,US,94508,0,,Katherine.W.Mullins@spambob.com,503-688-0336,Diners Club,ES,X6490143A,36121154460952,,10107,64,Baby_Boomers
Katherine Mullins   ,Mrs.,4245 Adamsville Road,Angwin,CA,US,94508,0,,Katherine.W.Mullins@spambob.com,503-688-0336,Diners Club,ES,X6490143A,36818056405254,,10107,64,Baby_Boomers
Katherine Mullins   ,Mrs.,4245 Adamsville Road,Angwin,CA,US,94508,0,,Katherine.W.Mullins@spambob.com,503-688-0336,Diners Club,ES,X6490143A,36634492143858,,10107,64,Baby_Boomers
Lisa Guest          ,Mrs.,4317 Lyon Avenue,Annone Veneto,VE,IT,30020,0,,Lisa.D.Guest@spambob.com,0312 0608733,Diners Club,ES,4204474M,36644787122855,,10111,19,Gen_Z
Lisa Guest          ,Mrs.,4317 Lyon Avenue,Annone Veneto,VE,IT,30020,0,,Lisa.D.Guest@spambob.com,0312 0608733,Diners Club,ES,4204474M,36116661451114,,10111,19,Gen_Z
Scott Lawson        ,Mr.,3105 Spadafore Drive,Antioch,WI,US,60002,0,,Scott.M.Lawson@spambob.com,201-799-5873,JCB,CA,518957246,3528449971671140,,10115,NA,Gen_Z
Scott Lawson        ,Mr.,3105 Spadafore Drive,Antioch,WI,US,60002,0,,Scott.M.Lawson@spambob.com,201-799-5873,JCB,CA,518957246,3528246880562020,,10115,NA,Gen_Z
Scott Lawson        ,Mr.,3105 Spadafore Drive,Antioch,WI,US,60002,0,,Scott.M.Lawson@spambob.com,201-799-5873,JCB,CA,518957246,3528376346760790,,10115,NA,Gen_Z
Scott Lawson        ,Mr.,3105 Spadafore Drive,Antioch,WI,US,60002,0,,Scott.M.Lawson@spambob.com,201-799-5873,JCB,CA,518957246,3528600285124210,,10115,NA,Gen_Z
Scott Lawson        ,Mr.,3105 Spadafore Drive,Antioch,WI,US,60002,0,,Scott.M.Lawson@spambob.com,201-799-5873,JCB,CA,518957246,3528600942557250,,10115,NA,Gen_Z
Scott Lawson        ,Mr.,3105 Spadafore Drive,Antioch,WI,US,60002,0,,Scott.M.Lawson@spambob.com,201-799-5873,JCB,CA,518957246,3528614504025590,,10115,NA,Gen_Z
Robert Bilbo        ,Mr.,2553 Clousson Road,Appiano Gentile,CO,IT,22070,0,,Robert.L.Bilbo@dodgeit.com,0390 9449254,JCB,IT,QIEZKO91C65L851P,3528389090563460,,10119,49,Gen_X
Robert Bilbo        ,Mr.,2553 Clousson Road,Appiano Gentile,CO,IT,22070,0,,Robert.L.Bilbo@dodgeit.com,0390 9449254,JCB,IT,QIEZKO91C65L851P,3528075216163540,,10119,49,Gen_X
Ahmed Richard       ,Mr.,1346 Carter Street,Appleton,WI,US,54911,0,,Ahmed.P.Richard@mailinator.com,510-517-7759,JCB,U.S.,229990001,3528227807541620,,10123,20,Gen_Z
Ahmed Richard       ,Mr.,1346 Carter Street,Appleton,WI,US,54911,0,,Ahmed.P.Richard@mailinator.com,510-517-7759,JCB,U.S.,229990001,3528564784460050,,10123,20,Gen_Z
Ahmed Richard       ,Mr.,1346 Carter Street,Appleton,WI,US,54911,0,,Ahmed.P.Richard@mailinator.com,510-517-7759,JCB,U.S.,229990001,3528269063187280,,10123,20,Gen_Z
Ahmed Richard       ,Mr.,1346 Carter Street,Appleton,WI,US,54911,0,,Ahmed.P.Richard@mailinator.com,510-517-7759,JCB,U.S.,229990001,3528931917219690,,10123,20,Gen_Z
Ahmed Richard       ,Mr.,1346 Carter Street,Appleton,WI,US,54911,0,,Ahmed.P.Richard@mailinator.com,510-517-7759,JCB,U.S.,229990001,3528880283297730,,10123,20,Gen_Z
Ray Hornsby         ,Mr.,555 Davis Avenue,Archez,,ES,29753,0,,Ray.M.Hornsby@pookmail.com,91-271-2747,VISA,IT,TMWEAA77M18B017F,4839454993108510,,10127,49,Gen_X
Jason Glass         ,Miss.,289 Bassell Avenue,Argenton,NSW,AU,2284,0,,Jason.M.Glass@spambob.com,(07) 4090 2386,Diners Club,IT,HCNMPL50M67G315Q,36383397316819,,10131,78,Baby_Boomers
Jason Glass         ,Miss.,289 Bassell Avenue,Argenton,NSW,AU,2284,0,,Jason.M.Glass@spambob.com,(07) 4090 2386,Diners Club,IT,HCNMPL50M67G315Q,36851488532759,,10131,78,Baby_Boomers
Jason Glass         ,Miss.,289 Bassell Avenue,Argenton,NSW,AU,2284,0,,Jason.M.Glass@spambob.com,(07) 4090 2386,Diners Club,IT,HCNMPL50M67G315Q,36452932938450,,10131,78,Baby_Boomers
Natalie White       ,Mrs.,3233 Rivendell Drive,Arlington,TX,US,76011,0,,Natalie.D.White@dodgeit.com,916-866-4992,VISA,ES,4674010L,4658073713519850,,10135,NA,Gen_Z
Natalie White       ,Mrs.,3233 Rivendell Drive,Arlington,TX,US,76011,0,,Natalie.D.White@dodgeit.com,916-866-4992,VISA,ES,4674010L,4904955410819470,,10135,NA,Gen_Z
Donna Klock         ,Mrs.,3107 Byers Lane,Arlington,NE,US,68002,0,,Donna.K.Klock@spambob.com,319-482-8591,VISA,U.S.,492230001,4136045492791970,,10139,53,Baby_Boomers
Donna Klock         ,Mrs.,3107 Byers Lane,Arlington,NE,US,68002,0,,Donna.K.Klock@spambob.com,319-482-8591,VISA,U.S.,492230001,4535743057609910,,10139,53,Baby_Boomers
Donna Klock         ,Mrs.,3107 Byers Lane,Arlington,NE,US,68002,0,,Donna.K.Klock@spambob.com,319-482-8591,VISA,U.S.,492230001,4929775444465180,,10139,53,Baby_Boomers
Donna Klock         ,Mrs.,3107 Byers Lane,Arlington,NE,US,68002,0,,Donna.K.Klock@spambob.com,319-482-8591,VISA,U.S.,492230001,4426702042671740,,10139,53,Baby_Boomers
Donald Velazquez    ,Mr.,224 Gandy Street,Aschersleben,,DE,6431,0,,Donald.H.Velazquez@pookmail.com,08321 88 88 19,JCB,IT,NPPGZI62A63B394C,3528671334669260,,10147,age-19,Gen_Z
Donald Velazquez    ,Mr.,224 Gandy Street,Aschersleben,,DE,6431,0,,Donald.H.Velazquez@pookmail.com,08321 88 88 19,JCB,IT,NPPGZI62A63B394C,3528996754568390,,10147,age-19,Gen_Z
Harry Brumback      ,Mr.,45 Graystone Lakes,Asheboro,NC,US,27203,0,,Harry.L.Brumback@dodgeit.com,773-577-9355,Discover,FR,7.83E+14,6011918799743010,,10151,75,Baby_Boomers
Harry Brumback      ,Mr.,45 Graystone Lakes,Asheboro,NC,US,27203,0,,Harry.L.Brumback@dodgeit.com,773-577-9355,Discover,FR,7.83E+14,6011983949599070,,10151,75,Baby_Boomers
Harry Brumback      ,Mr.,45 Graystone Lakes,Asheboro,NC,US,27203,0,,Harry.L.Brumback@dodgeit.com,773-577-9355,Discover,FR,7.83E+14,6011951134107630,,10151,75,Baby_Boomers
Harold Magee        ,Mr.,565 Cinnamon Lane,Ashland,VA,US,23005,0,,Harold.A.Magee@mailinator.com,503-308-1831,American Express,UK,YS731666A,375517931599425,,10155,40,Gen_Y
Harold Magee        ,Mr.,565 Cinnamon Lane,Ashland,VA,US,23005,0,,Harold.A.Magee@mailinator.com,503-308-1831,American Express,UK,YS731666A,343184280980031,,10155,40,Gen_Y
Harold Magee        ,Mr.,565 Cinnamon Lane,Ashland,VA,US,23005,0,,Harold.A.Magee@mailinator.com,503-308-1831,American Express,UK,YS731666A,376169429653716,,10155,40,Gen_Y
Harold Magee        ,Mr.,565 Cinnamon Lane,Ashland,VA,US,23005,0,,Harold.A.Magee@mailinator.com,503-308-1831,American Express,UK,YS731666A,344974728479459,,10155,40,Gen_Y
Harold Magee        ,Mr.,565 Cinnamon Lane,Ashland,VA,US,23005,0,,Harold.A.Magee@mailinator.com,503-308-1831,American Express,UK,YS731666A,349153333997514,,10155,40,Gen_Y
Melba Whitehead     ,Mrs.,4985 Barnes Avenue,Asquith,NSW,AU,2077,0,,Melba.M.Whitehead@trashymail.com,(07) 4507 5357,American Express,ES,0568157B,340546958808353,,10159,53,Baby_Boomers
Melba Whitehead     ,Mrs.,4985 Barnes Avenue,Asquith,NSW,AU,2077,0,,Melba.M.Whitehead@trashymail.com,(07) 4507 5357,American Express,ES,0568157B,375975889031783,,10159,53,Baby_Boomers
Melba Whitehead     ,Mrs.,4985 Barnes Avenue,Asquith,NSW,AU,2077,0,,Melba.M.Whitehead@trashymail.com,(07) 4507 5357,American Express,ES,0568157B,345603867815588,,10159,53,Baby_Boomers
Melba Whitehead     ,Mrs.,4985 Barnes Avenue,Asquith,NSW,AU,2077,0,,Melba.M.Whitehead@trashymail.com,(07) 4507 5357,American Express,ES,0568157B,346804013228790,,10159,53,Baby_Boomers
Melba Whitehead     ,Mrs.,4985 Barnes Avenue,Asquith,NSW,AU,2077,0,,Melba.M.Whitehead@trashymail.com,(07) 4507 5357,American Express,ES,0568157B,340467460121747,,10159,53,Baby_Boomers
Ivan Case           ,Mr.,2540 School Street,Athens,TX,US,75751,0,,Ivan.J.Case@dodgeit.com,512-391-4111,Diners Club,U.S.,23868154,36851630631780,,10163,27,Gen_Y
Ivan Case           ,Mr.,2540 School Street,Athens,TX,US,75751,0,,Ivan.J.Case@dodgeit.com,512-391-4111,Diners Club,U.S.,23868154,36184034250365,,10163,27,Gen_Y
Bob Davenport       ,Mr.,488 Lonely Oak Drive,Atlanta,GA,US,30345,0,,Bob.N.Davenport@pookmail.com,512-912-9995,Discover,FR,1.28E+14,6011110977483560,,10167,NA,Gen_Z
Jennifer Howard     ,Mrs.,3339 Twin Willow Lane,Atlanta,GA,US,30329,0,,Jennifer.M.Howard@spambob.com,559-927-9392,Discover,IT,SQOOUI42T60G511Z,6011555451925820,,10171,NA,Gen_Z
Jennifer Howard     ,Mrs.,3339 Twin Willow Lane,Atlanta,GA,US,30329,0,,Jennifer.M.Howard@spambob.com,559-927-9392,Discover,IT,SQOOUI42T60G511Z,6011651907707240,,10171,NA,Gen_Z
Jennifer Howard     ,Mrs.,3339 Twin Willow Lane,Atlanta,GA,US,30329,0,,Jennifer.M.Howard@spambob.com,559-927-9392,Discover,IT,SQOOUI42T60G511Z,6011973965287230,,10171,NA,Gen_Z
Jana Hall           ,Mrs.,2050 Randolph Street,Atlantic City,NJ,US,8401,0,,Jana.R.Hall@mailinator.com,410-971-3586,American Express,ES,X4152416L,370602097003609,,10179,30,Gen_Y
Jana Hall           ,Mrs.,2050 Randolph Street,Atlantic City,NJ,US,8401,0,,Jana.R.Hall@mailinator.com,410-971-3586,American Express,ES,X4152416L,340179422118279,,10179,30,Gen_Y
Arlene Cruz         ,Mrs.,4858 Bottom Lane,Auburn,WA,US,98002,0,,Arlene.M.Cruz@mailinator.com,817-905-6598,JCB,IT,CQQVJC41M50H989G,3528027036181420,,10183,35,Gen_Y
Arlene Cruz         ,Mrs.,4858 Bottom Lane,Auburn,WA,US,98002,0,,Arlene.M.Cruz@mailinator.com,817-905-6598,JCB,IT,CQQVJC41M50H989G,3528504942772610,,10183,35,Gen_Y
Mildred Carey       ,Mrs.,3362 Post Avenue,Aulnay-sous-bois,,FR,93600,0,,Mildred.M.Carey@mailinator.com,03.43.65.57.75,American Express,ES,5876860S,343373575849884,,10187,75,Baby_Boomers
Mildred Carey       ,Mrs.,3362 Post Avenue,Aulnay-sous-bois,,FR,93600,0,,Mildred.M.Carey@mailinator.com,03.43.65.57.75,American Express,ES,5876860S,347290016555866,,10187,75,Baby_Boomers
Mildred Carey       ,Mrs.,3362 Post Avenue,Aulnay-sous-bois,,FR,93600,0,,Mildred.M.Carey@mailinator.com,03.43.65.57.75,American Express,ES,5876860S,370888743475158,,10187,75,Baby_Boomers
Mildred Carey       ,Mrs.,3362 Post Avenue,Aulnay-sous-bois,,FR,93600,0,,Mildred.M.Carey@mailinator.com,03.43.65.57.75,American Express,ES,5876860S,341479862350973,,10187,75,Baby_Boomers
Yasmin Cole         ,Mrs.,2756 Johnson Street,Austin,TX,US,78664,0,,Yasmin.D.Cole@pookmail.com,703-633-1911,VISA,ES,1062903G,4761926230870400,,10195,68,Baby_Boomers
Yasmin Cole         ,Mrs.,2756 Johnson Street,Austin,TX,US,78664,0,,Yasmin.D.Cole@pookmail.com,703-633-1911,VISA,ES,1062903G,4276374683928090,,10195,68,Baby_Boomers
Yasmin Cole         ,Mrs.,2756 Johnson Street,Austin,TX,US,78664,0,,Yasmin.D.Cole@pookmail.com,703-633-1911,VISA,ES,1062903G,4029378903998160,,10195,68,Baby_Boomers
Yasmin Cole         ,Mrs.,2756 Johnson Street,Austin,TX,US,78664,0,,Yasmin.D.Cole@pookmail.com,703-633-1911,VISA,ES,1062903G,4389234243924310,,10195,68,Baby_Boomers
Yasmin Cole         ,Mrs.,2756 Johnson Street,Austin,TX,US,78664,0,,Yasmin.D.Cole@pookmail.com,703-633-1911,VISA,ES,1062903G,4322468423343880,,10195,68,Baby_Boomers
Jodi Bugg           ,Mrs.,1177 Petunia Way,Avio,TN,IT,38063,0,,Jodi.S.Bugg@spambob.com,0396 3484999,American Express,FR,2.53E+14,344865672581456,,10203,38,Gen_Y
Jodi Bugg           ,Mrs.,1177 Petunia Way,Avio,TN,IT,38063,0,,Jodi.S.Bugg@spambob.com,0396 3484999,American Express,FR,2.53E+14,370251840383198,,10203,38,Gen_Y
Henry Williams      ,Mr.,303 School Street,Back Plains,QLD,AU,4361,0,,Henry.C.Williams@spambob.com,(03) 5390 3807,American Express,UK,TS214786A,342962873557410,,10207,70,Baby_Boomers
Allen Rice          ,Mr.,491 Browning Lane,Badia Di Cava De Tirreni,SA,IT,84010,0,,Allen.L.Rice@pookmail.com,0310 4718739,VISA,UK,YH860602C,4433279152797870,,10211,NA,Gen_Z
Allen Rice          ,Mr.,491 Browning Lane,Badia Di Cava De Tirreni,SA,IT,84010,0,,Allen.L.Rice@pookmail.com,0310 4718739,VISA,UK,YH860602C,4722682944390360,,10211,NA,Gen_Z
Allen Rice          ,Mr.,491 Browning Lane,Badia Di Cava De Tirreni,SA,IT,84010,0,,Allen.L.Rice@pookmail.com,0310 4718739,VISA,UK,YH860602C,4604194717589580,,10211,NA,Gen_Z
